INPUT VALUES USED IN HTHH PLUMERIA RUNS. T=900.0, m_w=0.00, m_g=0.03, rho_mix=5.948
run #         MER         diam     u_exit     T_m     m_w     m_g     rho_mix
   43     6.2482e+06        86      180.6     900    0.00    0.03      5.948
   44     1.2971e+06        33      260.8     900    0.00    0.03      5.948
   45     3.1307e+10      4415      343.8     900    0.00    0.03      5.948
   46     1.5430e+09      1655      120.6     900    0.00    0.03      5.948
   47     7.1282e+09      3861      102.4     900    0.00    0.03      5.948
   48     1.4220e+08       331      277.2     900    0.00    0.03      5.948
   49     1.2859e+07       120      192.7     900    0.00    0.03      5.948
   50     1.7026e+09      1066      320.4     900    0.00    0.03      5.948
   51     4.8025e+08       934      117.9     900    0.00    0.03      5.948
   52     1.0770e+06        40      145.8     900    0.00    0.03      5.948
   53     1.6505e+09      1481      161.1     900    0.00    0.03      5.948
   54     1.9420e+06        39      274.4     900    0.00    0.03      5.948
   55     2.6493e+10      4428      289.2     900    0.00    0.03      5.948
   56     1.6314e+09      1416      174.0     900    0.00    0.03      5.948
   57     1.6068e+07       152      149.8     900    0.00    0.03      5.948
   58     2.1020e+07       152      195.6     900    0.00    0.03      5.948
   59     6.4580e+06       112      111.0     900    0.00    0.03      5.948
   60     2.1243e+06        42      261.1     900    0.00    0.03      5.948
   61     7.6158e+09      3122      167.3     900    0.00    0.03      5.948
   62     4.6963e+06        62      262.1     900    0.00    0.03      5.948
   63     3.5936e+07       182      233.4     900    0.00    0.03      5.948
   64     5.2129e+06        65      260.1     900    0.00    0.03      5.948
   65     2.5083e+09      1700      185.7     900    0.00    0.03      5.948
   66     5.5868e+09      2551      183.8     900    0.00    0.03      5.948
   67     5.8605e+08      1059      111.9     900    0.00    0.03      5.948
   68     5.9281e+09      2437      213.7     900    0.00    0.03      5.948
   69     1.7058e+08       404      223.7     900    0.00    0.03      5.948
   70     6.2003e+07       351      107.9     900    0.00    0.03      5.948
   71     1.2017e+10      2775      334.0     900    0.00    0.03      5.948
   72     1.3974e+09       970      318.1     900    0.00    0.03      5.948
   73     2.8958e+10      4728      277.3     900    0.00    0.03      5.948
   74     2.3652e+07       131      296.1     900    0.00    0.03      5.948
   75     2.8034e+10      7220      115.1     900    0.00    0.03      5.948
   76     2.0158e+07       134      241.2     900    0.00    0.03      5.948
   77     2.6730e+07       193      153.2     900    0.00    0.03      5.948
   78     4.8123e+06        72      199.8     900    0.00    0.03      5.948
   79     8.0759e+06       123      113.8     900    0.00    0.03      5.948
   80     3.5071e+09      1570      304.5     900    0.00    0.03      5.948
   81     3.2524e+07       196      181.5     900    0.00    0.03      5.948
   82     3.7101e+09      1792      247.4     900    0.00    0.03      5.948
   83     3.2753e+06        55      235.9     900    0.00    0.03      5.948
   84     2.8997e+07       232      115.3     900    0.00    0.03      5.948
   85     2.5175e+10      5179      200.9     900    0.00    0.03      5.948
   86     1.4135e+09      1114      243.9     900    0.00    0.03      5.948
   87     1.7522e+10      4942      153.5     900    0.00    0.03      5.948
   88     1.1907e+09       935      291.2     900    0.00    0.03      5.948
   89     2.4023e+08       488      215.9     900    0.00    0.03      5.948
   90     1.2824e+08       325      259.6     900    0.00    0.03      5.948
   91     1.0316e+06        42      126.9     900    0.00    0.03      5.948
   92     2.1210e+08       508      175.9     900    0.00    0.03      5.948
   93     6.6318e+09      2820      178.5     900    0.00    0.03      5.948
   94     6.5421e+08       964      150.6     900    0.00    0.03      5.948
   95     2.6810e+08       451      281.9     900    0.00    0.03      5.948
   96     8.4991e+09      2405      314.6     900    0.00    0.03      5.948
   97     1.8000e+09      1212      262.3     900    0.00    0.03      5.948
   98     2.9377e+08       500      251.7     900    0.00    0.03      5.948
   99     2.0708e+06        44      233.8     900    0.00    0.03      5.948
  100     2.7036e+08       561      183.6     900    0.00    0.03      5.948
  101     1.3984e+07       121      205.9     900    0.00    0.03      5.948
  102     1.4111e+09       938      343.5     900    0.00    0.03      5.948
  103     1.6956e+07       161      139.8     900    0.00    0.03      5.948
  104     4.0986e+06        64      213.9     900    0.00    0.03      5.948
  105     9.7301e+08       940      235.5     900    0.00    0.03      5.948
  106     6.0677e+07       220      268.5     900    0.00    0.03      5.948
  107     1.3985e+08       435      158.1     900    0.00    0.03      5.948
  108     9.9163e+09      3085      223.0     900    0.00    0.03      5.948
  109     1.5891e+09      1522      146.8     900    0.00    0.03      5.948
  110     4.8016e+07       177      329.0     900    0.00    0.03      5.948
  111     1.6983e+09      1208      248.9     900    0.00    0.03      5.948
  112     3.6354e+08       823      115.0     900    0.00    0.03      5.948
  113     3.9622e+06        63      211.8     900    0.00    0.03      5.948
  114     1.9558e+07       116      308.5     900    0.00    0.03      5.948
  115     1.0490e+09       975      236.1     900    0.00    0.03      5.948
  116     2.9688e+10      5746      192.5     900    0.00    0.03      5.948
  117     3.7095e+07       201      195.8     900    0.00    0.03      5.948
  118     4.5187e+08       566      301.5     900    0.00    0.03      5.948
  119     8.0859e+06        72      334.1     900    0.00    0.03      5.948
  120     5.1568e+07       214      240.6     900    0.00    0.03      5.948
  121     1.6875e+07       105      326.2     900    0.00    0.03      5.948
  122     1.9666e+09      1522      181.7     900    0.00    0.03      5.948
  123     2.3225e+09      1572      201.2     900    0.00    0.03      5.948
  124     8.7368e+09      2915      220.0     900    0.00    0.03      5.948
  125     6.5217e+06        78      228.3     900    0.00    0.03      5.948
  126     2.0741e+10      5245      161.4     900    0.00    0.03      5.948
  127     7.3767e+06        80      245.4     900    0.00    0.03      5.948
  128     2.1712e+06        40      289.7     900    0.00    0.03      5.948
  129     6.4996e+09      1998      348.6     900    0.00    0.03      5.948
  130     2.2003e+09      1668      169.2     900    0.00    0.03      5.948
  131     1.7608e+06        46      180.6     900    0.00    0.03      5.948
  132     6.9091e+06        82      221.3     900    0.00    0.03      5.948
  133     3.6243e+09      1945      205.0     900    0.00    0.03      5.948
  134     9.7592e+09      3982      131.7     900    0.00    0.03      5.948
  135     7.3476e+08       993      159.6     900    0.00    0.03      5.948
  136     1.1995e+08       345      215.2     900    0.00    0.03      5.948
  137     4.6099e+06        62      254.4     900    0.00    0.03      5.948
  138     8.8333e+07       309      197.6     900    0.00    0.03      5.948
  139     5.7497e+07       292      144.1     900    0.00    0.03      5.948
  140     4.3194e+06        88      119.2     900    0.00    0.03      5.948
  141     2.5013e+06        42      298.3     900    0.00    0.03      5.948
  142     9.0778e+07       419      110.4     900    0.00    0.03      5.948
  143     1.7080e+07       153      156.9     900    0.00    0.03      5.948
  144     2.9847e+07       168      225.2     900    0.00    0.03      5.948
  145     4.4907e+06        79      155.7     900    0.00    0.03      5.948
  146     1.1878e+06        42      145.7     900    0.00    0.03      5.948
  147     7.6331e+08       882      210.0     900    0.00    0.03      5.948
  148     2.0575e+08       461      207.6     900    0.00    0.03      5.948
  149     6.4007e+08       637      337.9     900    0.00    0.03      5.948
  150     2.2276e+06        47      216.1     900    0.00    0.03      5.948
  151     1.1609e+08       276      325.4     900    0.00    0.03      5.948
  152     2.2152e+08       414      276.7     900    0.00    0.03      5.948
  153     1.2408e+09      1060      236.3     900    0.00    0.03      5.948
  154     6.4552e+07       218      291.1     900    0.00    0.03      5.948
  155     7.8821e+08       855      231.0     900    0.00    0.03      5.948
  156     1.0097e+10      3703      157.6     900    0.00    0.03      5.948
  157     3.0185e+08       760      112.0     900    0.00    0.03      5.948
  158     1.7887e+07       188      108.8     900    0.00    0.03      5.948
  159     4.7785e+07       183      304.9     900    0.00    0.03      5.948
  160     1.1978e+08       343      218.0     900    0.00    0.03      5.948
  161     1.6428e+10      3417      301.2     900    0.00    0.03      5.948
  162     3.7425e+08       547      267.7     900    0.00    0.03      5.948
  163     2.3759e+10      5052      199.3     900    0.00    0.03      5.948
  164     2.5428e+06        43      295.5     900    0.00    0.03      5.948
  165     1.4367e+07       171      104.9     900    0.00    0.03      5.948
  166     9.3623e+06       112      160.2     900    0.00    0.03      5.948
  167     2.1206e+10      4503      223.9     900    0.00    0.03      5.948
  168     6.4072e+08       660      315.3     900    0.00    0.03      5.948
  169     7.9528e+07       230      323.2     900    0.00    0.03      5.948
  170     1.3277e+09      1013      277.1     900    0.00    0.03      5.948
  171     1.5684e+10      4982      135.2     900    0.00    0.03      5.948
  172     1.5656e+10      4821      144.2     900    0.00    0.03      5.948
  173     2.9907e+10      5107      245.5     900    0.00    0.03      5.948
  174     1.1102e+06        37      173.3     900    0.00    0.03      5.948
  175     7.2356e+07       251      246.4     900    0.00    0.03      5.948
  176     1.5659e+06        31      344.1     900    0.00    0.03      5.948
  177     1.7240e+06        40      235.4     900    0.00    0.03      5.948
  178     6.3043e+07       239      235.4     900    0.00    0.03      5.948
  179     1.8030e+08       394      249.2     900    0.00    0.03      5.948
  180     3.3635e+06        58      217.2     900    0.00    0.03      5.948
  181     1.7622e+08       425      208.7     900    0.00    0.03      5.948
  182     1.2592e+07        91      323.1     900    0.00    0.03      5.948
  183     2.1181e+06        39      293.9     900    0.00    0.03      5.948
  184     1.3866e+10      3779      207.9     900    0.00    0.03      5.948
  185     6.7080e+09      2760      188.5     900    0.00    0.03      5.948
  186     1.7663e+06        37      278.7     900    0.00    0.03      5.948
  187     4.2439e+09      2425      154.4     900    0.00    0.03      5.948
  188     1.4372e+06        54      106.3     900    0.00    0.03      5.948
  189     1.0305e+10      4518      108.1     900    0.00    0.03      5.948
  190     8.4896e+07       230      345.0     900    0.00    0.03      5.948
  191     1.1674e+06        36      192.2     900    0.00    0.03      5.948
  192     5.1288e+09      1955      287.3     900    0.00    0.03      5.948
  193     1.2551e+09       955      294.3     900    0.00    0.03      5.948
  194     1.8383e+06        42      224.2     900    0.00    0.03      5.948
  195     2.2397e+07       136      260.3     900    0.00    0.03      5.948
  196     1.8264e+10      3679      288.9     900    0.00    0.03      5.948
  197     1.3136e+07       100      281.8     900    0.00    0.03      5.948
  198     5.6937e+07       198      310.0     900    0.00    0.03      5.948
  199     3.0911e+07       188      186.9     900    0.00    0.03      5.948
  200     4.8751e+07       229      198.6     900    0.00    0.03      5.948
  201     1.0411e+06        34      187.4     900    0.00    0.03      5.948
  202     1.5152e+07       116      240.3     900    0.00    0.03      5.948
  203     7.0097e+06        95      166.1     900    0.00    0.03      5.948
  204     1.5519e+08       324      316.2     900    0.00    0.03      5.948
  205     4.6313e+07       204      238.9     900    0.00    0.03      5.948
  206     1.6033e+08       466      157.8     900    0.00    0.03      5.948
  207     1.3190e+07        96      304.1     900    0.00    0.03      5.948
  208     2.6449e+10      7188      109.6     900    0.00    0.03      5.948
  209     1.6445e+06        44      182.7     900    0.00    0.03      5.948
  210     1.0948e+09       882      301.1     900    0.00    0.03      5.948
  211     6.7406e+06        96      155.5     900    0.00    0.03      5.948
  212     2.5287e+09      1730      180.8     900    0.00    0.03      5.948
  213     3.3645e+06        50      290.5     900    0.00    0.03      5.948
  214     1.0841e+09      1200      161.2     900    0.00    0.03      5.948
  215     4.1489e+08       940      100.6     900    0.00    0.03      5.948
  216     1.2719e+08       374      195.0     900    0.00    0.03      5.948
  217     4.6243e+06        89      123.7     900    0.00    0.03      5.948
  218     5.0724e+06        93      126.1     900    0.00    0.03      5.948
  219     6.2191e+06       114      101.9     900    0.00    0.03      5.948
  220     3.9020e+08       813      126.2     900    0.00    0.03      5.948
  221     4.5773e+09      2287      187.3     900    0.00    0.03      5.948
  222     3.4126e+06        48      319.9     900    0.00    0.03      5.948
  223     3.3427e+06        52      267.9     900    0.00    0.03      5.948
  224     2.0999e+07       211      101.1     900    0.00    0.03      5.948
  225     7.7964e+08       959      181.5     900    0.00    0.03      5.948
  226     1.6320e+09      1436      169.4     900    0.00    0.03      5.948
  227     5.6130e+09      2672      168.3     900    0.00    0.03      5.948
  228     6.1876e+07       301      146.2     900    0.00    0.03      5.948
  229     8.6677e+09      2848      228.7     900    0.00    0.03      5.948
  230     7.7356e+06        97      174.2     900    0.00    0.03      5.948
  231     4.7303e+08       586      295.3     900    0.00    0.03      5.948
  232     4.3680e+08       673      206.5     900    0.00    0.03      5.948
  233     9.2367e+06        94      226.1     900    0.00    0.03      5.948
  234     3.2627e+08       472      314.1     900    0.00    0.03      5.948
  235     3.8731e+09      1725      278.5     900    0.00    0.03      5.948
  236     1.0935e+08       315      236.2     900    0.00    0.03      5.948
  237     4.8478e+09      2477      169.2     900    0.00    0.03      5.948
  238     1.4061e+06        30      326.9     900    0.00    0.03      5.948
  239     1.2960e+09      1298      164.7     900    0.00    0.03      5.948
  240     2.8479e+09      1362      328.7     900    0.00    0.03      5.948
  241     1.8851e+10      3698      295.1     900    0.00    0.03      5.948
  242     2.2295e+09      1268      296.7     900    0.00    0.03      5.948
  243     9.3073e+06        86      266.7     900    0.00    0.03      5.948
  244     1.8763e+09      1161      298.0     900    0.00    0.03      5.948
  245     5.0400e+07       181      329.7     900    0.00    0.03      5.948
  246     3.1496e+08       566      210.3     900    0.00    0.03      5.948
  247     1.7704e+10      5885      109.4     900    0.00    0.03      5.948
  248     3.8948e+06        53      301.5     900    0.00    0.03      5.948
  249     2.3162e+09      1214      336.5     900    0.00    0.03      5.948
  250     4.4102e+07       175      308.2     900    0.00    0.03      5.948
  251     4.1800e+09      1734      297.5     900    0.00    0.03      5.948
  252     5.7700e+06       107      108.0     900    0.00    0.03      5.948
  253     3.1035e+10      5785      198.5     900    0.00    0.03      5.948
  254     2.7877e+09      1470      276.1     900    0.00    0.03      5.948
  255     7.2248e+07       260      228.6     900    0.00    0.03      5.948
  256     6.9464e+08       800      232.5     900    0.00    0.03      5.948
  257     2.0960e+10      4124      263.8     900    0.00    0.03      5.948
  258     2.1007e+09      1356      244.6     900    0.00    0.03      5.948
  259     7.6635e+07       223      330.0     900    0.00    0.03      5.948
  260     3.5380e+08       682      162.9     900    0.00    0.03      5.948
  261     2.8334e+08       772      101.9     900    0.00    0.03      5.948
  262     1.1368e+10      3115      250.8     900    0.00    0.03      5.948
  263     4.4635e+08       675      209.5     900    0.00    0.03      5.948
  264     2.2914e+07       147      227.0     900    0.00    0.03      5.948
  265     2.6287e+08       442      288.5     900    0.00    0.03      5.948
  266     1.6677e+06        34      301.1     900    0.00    0.03      5.948
  267     1.1622e+06        49      105.6     900    0.00    0.03      5.948
  268     3.0855e+10      5953      186.3     900    0.00    0.03      5.948
  269     9.9136e+09      2493      341.3     900    0.00    0.03      5.948
  270     7.3545e+08       678      342.1     900    0.00    0.03      5.948
  271     6.7490e+07       227      280.8     900    0.00    0.03      5.948
  272     3.3243e+09      1615      272.9     900    0.00    0.03      5.948
  273     2.1398e+07       195      120.1     900    0.00    0.03      5.948
  274     2.5649e+09      1682      194.0     900    0.00    0.03      5.948
  275     3.5056e+09      1866      215.6     900    0.00    0.03      5.948
  276     1.0587e+09       955      248.3     900    0.00    0.03      5.948
  277     2.0210e+10      4025      267.1     900    0.00    0.03      5.948
  278     1.1310e+07        93      277.3     900    0.00    0.03      5.948
  279     1.2170e+08       326      244.8     900    0.00    0.03      5.948
  280     2.6042e+09      1290      335.2     900    0.00    0.03      5.948
  281     1.0954e+07        91      285.3     900    0.00    0.03      5.948
  282     1.4247e+09      1190      215.4     900    0.00    0.03      5.948
  283     4.2175e+06        65      211.3     900    0.00    0.03      5.948
  284     8.7691e+09      2634      270.5     900    0.00    0.03      5.948
  285     1.3662e+08       350      239.2     900    0.00    0.03      5.948
  286     4.8587e+08       614      276.0     900    0.00    0.03      5.948
  287     3.4289e+06        58      215.4     900    0.00    0.03      5.948
  288     1.3631e+06        43      161.3     900    0.00    0.03      5.948
  289     7.1992e+07       330      141.4     900    0.00    0.03      5.948
  290     8.1332e+07       285      214.1     900    0.00    0.03      5.948
  291     4.5781e+09      2310      183.7     900    0.00    0.03      5.948
  292     3.2105e+08       612      183.3     900    0.00    0.03      5.948
  293     1.1688e+07        94      282.4     900    0.00    0.03      5.948
  294     4.3455e+07       181      283.1     900    0.00    0.03      5.948
  295     3.5714e+06        54      258.6     900    0.00    0.03      5.948
  296     2.4192e+10      4081      310.9     900    0.00    0.03      5.948
  297     6.0293e+09      2757      169.8     900    0.00    0.03      5.948
  298     1.3985e+06        38      203.7     900    0.00    0.03      5.948
  299     1.0792e+08       336      205.0     900    0.00    0.03      5.948
  300     5.9178e+07       237      225.2     900    0.00    0.03      5.948
  301     4.6417e+08       902      122.2     900    0.00    0.03      5.948
  302     2.4971e+06        73      101.0     900    0.00    0.03      5.948
  303     1.2131e+09       864      348.0     900    0.00    0.03      5.948
  304     1.0392e+06        30      241.6     900    0.00    0.03      5.948
  305     2.1607e+10      5357      161.2     900    0.00    0.03      5.948
  306     3.4291e+08       493      302.3     900    0.00    0.03      5.948
  307     2.0862e+10      4390      231.8     900    0.00    0.03      5.948
  308     1.5294e+07       173      109.3     900    0.00    0.03      5.948
  309     1.6976e+09      1080      311.7     900    0.00    0.03      5.948
  310     1.1675e+08       394      161.3     900    0.00    0.03      5.948
  311     6.4241e+09      3356      122.1     900    0.00    0.03      5.948
  312     3.3338e+08       458      340.4     900    0.00    0.03      5.948
  313     6.4705e+08       859      187.5     900    0.00    0.03      5.948
  314     9.5713e+07       267      287.9     900    0.00    0.03      5.948
  315     6.2979e+08      1033      126.3     900    0.00    0.03      5.948
  316     2.7477e+06        45      296.6     900    0.00    0.03      5.948
  317     1.0362e+09      1302      130.9     900    0.00    0.03      5.948
  318     1.6813e+06        37      263.7     900    0.00    0.03      5.948
  319     5.4094e+07       281      146.5     900    0.00    0.03      5.948
  320     1.2636e+08       508      104.6     900    0.00    0.03      5.948
  321     2.5528e+08       553      178.5     900    0.00    0.03      5.948
  322     5.1907e+09      2844      137.3     900    0.00    0.03      5.948
  323     2.7869e+07       188      169.2     900    0.00    0.03      5.948
  324     1.1489e+07       106      217.6     900    0.00    0.03      5.948
  325     7.3829e+08       935      180.7     900    0.00    0.03      5.948
  326     5.6761e+06        84      171.6     900    0.00    0.03      5.948
  327     4.9049e+08       625      268.4     900    0.00    0.03      5.948
  328     4.9940e+08       919      126.6     900    0.00    0.03      5.948
  329     4.6140e+08       942      111.2     900    0.00    0.03      5.948
  330     2.6035e+09      2216      113.5     900    0.00    0.03      5.948
  331     1.1490e+10      2746      326.1     900    0.00    0.03      5.948
  332     1.1745e+08       301      278.3     900    0.00    0.03      5.948
  333     2.3765e+08       413      297.9     900    0.00    0.03      5.948
  334     1.8223e+09      1451      185.3     900    0.00    0.03      5.948
  335     1.1768e+10      4676      115.2     900    0.00    0.03      5.948
  336     1.0085e+08       424      119.8     900    0.00    0.03      5.948
  337     1.7090e+09      1146      278.8     900    0.00    0.03      5.948
  338     7.6900e+09      3683      121.4     900    0.00    0.03      5.948
  339     4.9289e+07       195      277.0     900    0.00    0.03      5.948
  340     3.0041e+08       495      261.9     900    0.00    0.03      5.948
  341     1.7051e+08       489      152.3     900    0.00    0.03      5.948
  342     1.7914e+06        46      183.7     900    0.00    0.03      5.948
  343     2.8214e+09      1720      204.1     900    0.00    0.03      5.948
  344     1.1240e+06        27      329.9     900    0.00    0.03      5.948
  345     1.1456e+07        85      337.4     900    0.00    0.03      5.948
  346     3.9032e+09      2126      184.9     900    0.00    0.03      5.948
  347     3.7962e+08       571      249.5     900    0.00    0.03      5.948
  348     9.7802e+07       275      277.8     900    0.00    0.03      5.948
  349     1.9199e+06        56      131.7     900    0.00    0.03      5.948
  350     9.3245e+09      4257      110.1     900    0.00    0.03      5.948
  351     1.4058e+09       933      345.9     900    0.00    0.03      5.948
  352     1.7237e+06        39      244.7     900    0.00    0.03      5.948
  353     4.8688e+06        62      267.2     900    0.00    0.03      5.948
  354     7.7738e+06       116      123.9     900    0.00    0.03      5.948
  355     2.1695e+10      4430      236.7     900    0.00    0.03      5.948
  356     5.0489e+07       191      297.8     900    0.00    0.03      5.948
  357     1.5929e+09      1259      215.1     900    0.00    0.03      5.948
  358     2.3152e+06        39      329.0     900    0.00    0.03      5.948
  359     6.7216e+09      2551      221.2     900    0.00    0.03      5.948
  360     6.4115e+08       922      161.5     900    0.00    0.03      5.948
  361     4.2391e+09      2342      165.5     900    0.00    0.03      5.948
  362     9.4400e+06        84      288.2     900    0.00    0.03      5.948
  363     1.3331e+09      1032      267.8     900    0.00    0.03      5.948
  364     1.5404e+10      4833      141.1     900    0.00    0.03      5.948
  365     2.5647e+06        44      289.6     900    0.00    0.03      5.948
  366     2.2667e+09      1226      322.9     900    0.00    0.03      5.948
  367     9.2121e+09      2397      343.3     900    0.00    0.03      5.948
  368     3.4174e+07       189      204.3     900    0.00    0.03      5.948
  369     1.8248e+06        58      116.2     900    0.00    0.03      5.948
  370     2.9586e+10      4294      343.5     900    0.00    0.03      5.948
  371     1.1329e+06        32      232.4     900    0.00    0.03      5.948
  372     1.9038e+10      3584      317.3     900    0.00    0.03      5.948
  373     1.7014e+07       141      183.3     900    0.00    0.03      5.948
  374     6.0361e+07       267      181.7     900    0.00    0.03      5.948
  375     3.7011e+09      2641      113.6     900    0.00    0.03      5.948
  376     1.3782e+07       165      107.8     900    0.00    0.03      5.948
  377     1.6028e+07       119      242.5     900    0.00    0.03      5.948
  378     1.6409e+06        33      313.3     900    0.00    0.03      5.948
  379     2.0664e+10      5250      160.5     900    0.00    0.03      5.948
  380     7.0777e+09      2433      255.9     900    0.00    0.03      5.948
  381     2.3481e+07       145      239.7     900    0.00    0.03      5.948
  382     1.4367e+09      1629      115.9     900    0.00    0.03      5.948
  383     1.0777e+08       360      177.6     900    0.00    0.03      5.948
  384     3.6110e+07       187      220.9     900    0.00    0.03      5.948
  385     2.3169e+09      1319      285.2     900    0.00    0.03      5.948
  386     2.6996e+09      1801      178.2     900    0.00    0.03      5.948
  387     5.0099e+07       327      100.0     900    0.00    0.03      5.948
  388     2.6815e+06        43      310.4     900    0.00    0.03      5.948
  389     1.8407e+09      1468      182.8     900    0.00    0.03      5.948
  390     7.5294e+07       227      313.6     900    0.00    0.03      5.948
  391     6.5508e+09      2251      276.8     900    0.00    0.03      5.948
  392     5.4850e+06        61      316.1     900    0.00    0.03      5.948
  393     2.4808e+07       147      244.2     900    0.00    0.03      5.948
  394     6.0232e+07       279      165.8     900    0.00    0.03      5.948
  395     2.8495e+10      4841      260.3     900    0.00    0.03      5.948
  396     8.5105e+06        80      282.8     900    0.00    0.03      5.948
  397     5.9584e+07       303      138.6     900    0.00    0.03      5.948
  398     4.6422e+07       214      216.6     900    0.00    0.03      5.948
  399     5.0023e+09      2534      166.8     900    0.00    0.03      5.948
  400     3.9873e+06        79      137.1     900    0.00    0.03      5.948
  401     3.7037e+08       631      198.8     900    0.00    0.03      5.948
  402     1.2220e+08       329      241.2     900    0.00    0.03      5.948
  403     6.3648e+06        90      168.2     900    0.00    0.03      5.948
  404     1.2890e+08       289      330.8     900    0.00    0.03      5.948
  405     6.2168e+08       693      277.4     900    0.00    0.03      5.948
  406     2.1418e+10      4654      211.7     900    0.00    0.03      5.948
  407     9.0906e+06        96      209.4     900    0.00    0.03      5.948
  408     4.9367e+07       283      132.4     900    0.00    0.03      5.948
  409     2.8284e+06        49      249.8     900    0.00    0.03      5.948
  410     3.1244e+10      6188      174.7     900    0.00    0.03      5.948
  411     3.2780e+06        77      117.3     900    0.00    0.03      5.948
  412     2.8544e+07       143      297.8     900    0.00    0.03      5.948
  413     8.3448e+06        75      314.6     900    0.00    0.03      5.948
  414     2.6175e+10      4281      305.8     900    0.00    0.03      5.948
  415     3.9255e+07       163      316.9     900    0.00    0.03      5.948
  416     2.6669e+09      2153      123.2     900    0.00    0.03      5.948
  417     3.1454e+08       542      229.4     900    0.00    0.03      5.948
  418     2.5197e+06        43      293.9     900    0.00    0.03      5.948
  419     2.9814e+08       502      253.5     900    0.00    0.03      5.948
  420     6.9380e+07       384      100.6     900    0.00    0.03      5.948
  421     4.8551e+08       892      130.7     900    0.00    0.03      5.948
  422     1.7342e+09      1800      114.5     900    0.00    0.03      5.948
  423     1.8432e+10      4386      205.1     900    0.00    0.03      5.948
  424     7.6977e+07       218      345.7     900    0.00    0.03      5.948
  425     2.2659e+07       152      209.3     900    0.00    0.03      5.948
  426     1.6824e+08       352      291.0     900    0.00    0.03      5.948
  427     4.1958e+08       931      103.6     900    0.00    0.03      5.948
  428     1.1859e+10      2824      318.3     900    0.00    0.03      5.948
  429     4.2918e+08       811      139.7     900    0.00    0.03      5.948
  430     3.3048e+07       201      175.1     900    0.00    0.03      5.948
  431     5.4164e+06        73      219.7     900    0.00    0.03      5.948
  432     3.5259e+06        81      115.7     900    0.00    0.03      5.948
  433     6.6329e+08       758      246.8     900    0.00    0.03      5.948
  434     3.2135e+09      1906      189.3     900    0.00    0.03      5.948
  435     2.5595e+07       135      299.3     900    0.00    0.03      5.948
  436     3.1933e+07       178      215.0     900    0.00    0.03      5.948
  437     2.9121e+09      1921      168.9     900    0.00    0.03      5.948
  438     4.3522e+08       640      227.6     900    0.00    0.03      5.948
  439     1.2527e+09      1080      230.0     900    0.00    0.03      5.948
  440     1.7202e+10      4557      177.4     900    0.00    0.03      5.948
